keyword,key_id
environmentalism,156388
environment,33577
ecology,15174
climate change,2210
pollution,6305
eco terrorism,41501
environmental,33480
environmental activist,222551
environmentalist,154815
global warming,5769
climate,3693
climate change activism,254781
climate crisis,311826
climate emergency,274947
conservation,211143
environmental destruction,178027
